language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,vernacularName,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_142,Parus caeruleus,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,species,Pimpelmees,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_143,Parus cristatus,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,species,Kuifmees,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_144,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,species,Koolmees,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_145,Parus montanus,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,species,Matkop,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_146,Parus palustris,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,species,Glanskop,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_147,Passer domesticus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,species,Huismus,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_148,Passer montanus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,species,Ringmus,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_149,Perdix perdix,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,species,Patrijs,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_15,Anas clypeata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,Slobeend,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_150,Pernis apivorus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,species,Wespendief,ICZN,accepted
